Year,Elite,Comments
2005,0,1
2005,0,4
2005,0,7
2005,0,5
2005,0,1
2005,0,4
2005,0,1
2005,0,1
2005,0,3
2005,0,3
2005,0,2
2005,0,1
2005,0,2
2005,0,14
2005,0,4
2005,0,1
2005,0,3
2005,0,1
2005,0,6
2005,0,1
2005,0,113
2005,0,7
2005,0,1
2005,1,2
2005,1,5
2005,1,63
2005,1,1
2005,1,1
2005,1,5
2005,1,2
2005,1,8
2005,1,2
2005,1,1
2005,1,1
2005,1,21
2005,1,1
2005,1,4
2005,1,21
2005,1,5
2005,1,4
2005,1,2
2005,1,13
2005,1,2
2005,1,1
2005,1,4
2005,1,25
2005,1,4
2005,1,1
2005,1,20
2005,1,1
2005,1,76
2005,1,1
2005,1,67
2005,1,18
2005,1,1
2005,1,1
2005,1,2
2005,1,7
2005,1,1
2005,1,4
2005,1,1
2005,1,4
2005,1,9
2005,1,3
2005,1,3
2005,1,4
2005,1,5
2005,1,5
2005,1,3
2005,1,1
2005,1,1
2005,1,3
2005,1,8
2005,1,2
2005,1,6
2005,1,1
2005,1,1
2005,1,4
2005,1,4
2005,1,1
2005,1,3
2006,0,2
2006,0,9
2006,0,1
2006,0,1
2006,0,1
2006,0,1
2006,0,2
2006,0,1
2006,0,1
2006,0,2
2006,0,2
2006,0,1
2006,0,1
2006,0,3
2006,0,1
2006,0,1
2006,0,1
2006,0,6
2006,0,55
2006,0,3
2006,0,12
2006,0,25
2006,0,1
2006,0,2
2006,0,8
2006,0,33
2006,0,1
2006,0,4
2006,0,1
2006,0,1
2006,0,2
2006,0,5
2006,0,2
2006,0,3
2006,0,6
2006,0,10
2006,0,1
2006,0,10
2006,0,1
2006,0,1
2006,0,1
2006,0,2
2006,0,1
2006,0,1
2006,0,8
2006,0,6
2006,0,1
2006,0,1
2006,0,2
2006,0,12
2006,0,2
2006,0,27
2006,0,1
2006,0,1
2006,0,3
2006,0,35
2006,0,1
2006,0,2
2006,0,4
2006,0,17
2006,0,4
2006,0,7
2006,0,13
2006,0,1
2006,0,8
2006,0,1
2006,0,2
2006,0,30
2006,0,7
2006,0,1
2006,0,1
2006,0,13
2006,0,21
2006,0,2
2006,0,1
2006,0,1
2006,0,1
2006,0,13
2006,0,1
2006,0,2
2006,0,1
2006,0,2
2006,0,4
2006,0,1
2006,0,13
2006,0,3
2006,0,21
2006,0,5
2006,0,4
2006,0,1
2006,0,2
2006,0,1
2006,0,1
2006,0,1
2006,0,1
2006,0,1
2006,0,1
2006,0,3
2006,0,2
2006,0,11
2006,0,1
2006,0,1
2006,0,2
2006,0,4
2006,0,1
2006,0,1
2006,0,5
2006,0,1
2006,0,42
2006,0,3
2006,0,18
2006,0,1
2006,0,3
2006,0,2
2006,0,1
2006,0,18
2006,0,1
2006,0,13
2006,0,1
2006,0,1
2006,0,10
2006,0,1
2006,0,1
2006,0,3
2006,0,4
2006,0,2
2006,0,2
2006,0,3
2006,0,2
2006,0,2
2006,0,10
2006,0,1
2006,0,10
2006,0,19
2006,0,5
2006,0,3
2006,0,10
2006,0,1
2006,0,1
2006,0,2
2006,0,1
2006,0,8
2006,0,1
2006,0,5
2006,0,5
2006,0,3
2006,0,1
2006,0,3
2006,0,5
2006,0,1
2006,0,4
2006,0,4
2006,0,7
2006,0,2
2006,0,32
2006,0,1
2006,0,1
2006,0,3
2006,0,1
2006,0,1
2006,0,1
2006,0,3
2006,0,9
2006,0,1
2006,0,8
2006,1,14
2006,1,5
2006,1,1
2006,1,1
2006,1,1
2006,1,2
2006,1,9
2006,1,2
2006,1,3
2006,1,1
2006,1,81
2006,1,2
2006,1,1
2006,1,4
2006,1,3
2006,1,1
2006,1,11
2006,1,7
2006,1,41
2006,1,2
2006,1,1
2006,1,13
2006,1,2
2006,1,5
2006,1,1
2006,1,7
2006,1,1
2006,1,12
2006,1,12
2006,1,1
2006,1,2
2006,1,5
2006,1,1
2006,1,48
2006,1,2
2006,1,4
2006,1,5
2006,1,2
2006,1,10
2006,1,1
2006,1,5
2006,1,4
2006,1,2
2006,1,2
2006,1,1
2006,1,2
2006,1,1
2006,1,3
2006,1,2
2006,1,1
2006,1,1
2006,1,1
2006,1,13
2006,1,10
2006,1,5
2006,1,1
2006,1,1
2006,1,4
2006,1,5
2006,1,4
2006,1,37
2006,1,1
2006,1,4
2006,1,1
2006,1,1
2006,1,4
2006,1,3
2006,1,71
2006,1,1
2006,1,10
2006,1,1
2006,1,1
2006,1,8
2006,1,5
2006,1,8
2006,1,4
2006,1,1
2006,1,14
2006,1,6
2006,1,2
2006,1,3
2006,1,2
2006,1,3
2006,1,1
2006,1,1
2006,1,46
2006,1,6
2006,1,1
2006,1,2
2006,1,2
2006,1,10
2006,1,1
2006,1,6
2006,1,1
2006,1,4
2006,1,3
2006,1,1
2006,1,2
2006,1,1
2006,1,1
2006,1,7
2006,1,2
2006,1,6
2006,1,1
2006,1,1
2006,1,2
2006,1,3
2006,1,2
2006,1,7
2006,1,12
2006,1,4
2006,1,5
2006,1,23
2006,1,5
2006,1,4
2006,1,7
2006,1,110
2006,1,1
2006,1,2
2006,1,3
2006,1,5
2006,1,1
2006,1,3
2006,1,9
2006,1,47
2006,1,3
2006,1,9
2006,1,1
2006,1,2
2006,1,8
2006,1,1
2006,1,2
2006,1,3
2006,1,3
2006,1,6
2006,1,4
2006,1,9
2006,1,4
2006,1,4
2006,1,4
2006,1,5
2006,1,8
2006,1,1
2006,1,16
2006,1,1
2006,1,2
2006,1,4
2006,1,26
2006,1,14
2006,1,3
2006,1,3
2006,1,8
2006,1,5
2006,1,1
2006,1,3
2006,1,21
2006,1,1
2006,1,3
2006,1,9
2006,1,5
2006,1,5
2006,1,2
2006,1,1
2006,1,6
2006,1,3
2006,1,9
2006,1,1
2006,1,3
2006,1,3
2006,1,23
2006,1,3
2006,1,2
2006,1,1
2006,1,1
2006,1,1
2006,1,1
2006,1,3
2006,1,1
2006,1,1
2006,1,34
2006,1,82
2006,1,1
2006,1,2
2006,1,2
2006,1,2
2006,1,5
2006,1,4
2006,1,1
2006,1,3
2006,1,23
2006,1,3
2006,1,1
2006,1,3
2006,1,2
2006,1,1
2006,1,22
2006,1,1
2006,1,2
2006,1,2
2006,1,5
2006,1,4
2006,1,1
2006,1,4
2006,1,1
2006,1,8
2006,1,9
2006,1,2
2006,1,1
2006,1,8
2006,1,1
2006,1,5
2006,1,5
2006,1,1
2006,1,3
2006,1,8
2006,1,2
2006,1,1
2006,1,4
2006,1,2
2006,1,2
2006,1,2
2006,1,6
2006,1,3
2006,1,2
2006,1,4
2006,1,2
2006,1,20
2006,1,5
2006,1,2
2006,1,4
2006,1,1
2006,1,7
2006,1,1
2006,1,2
2006,1,4
2006,1,5
2006,1,7
2006,1,6
2006,1,1
2006,1,1
2006,1,2
2006,1,5
2006,1,1
2006,1,2
2006,1,2
2006,1,9
2006,1,4
2006,1,1
2006,1,1
2006,1,4
2006,1,1
2006,1,2
2006,1,1
2006,1,1
2006,1,1
2006,1,5
2006,1,1
2006,1,3
2006,1,3
2006,1,2
2006,1,11
2006,1,5
2006,1,1
2006,1,1
2006,1,2
2006,1,6
2006,1,1
2006,1,43
2006,1,11
2006,1,4
2006,1,2
2006,1,1
2006,1,3
2006,1,1
2006,1,1
2006,1,47
2006,1,39
2006,1,5
2006,1,2
2006,1,5
2006,1,1
2006,1,17
2006,1,1
2006,1,3
2006,1,1
2006,1,1
2006,1,1
2006,1,2
2006,1,1
2006,1,3
2006,1,1
2006,1,5
2006,1,5
2006,1,12
2006,1,51
2006,1,3
2006,1,3
2006,1,7
2006,1,10
2006,1,77
2006,1,3
2006,1,7
2006,1,7
2006,1,4
2006,1,11
2006,1,1
2006,1,3
2006,1,3
2006,1,9
2006,1,2
2006,1,1
2006,1,10
2006,1,7
2006,1,18
2006,1,1
2006,1,33
2006,1,1
2006,1,7
2006,1,1
2006,1,3
2006,1,7
2006,1,2
2006,1,2
2006,1,2
2006,1,5
2006,1,2
2006,1,3
2006,1,4
2006,1,14
